icao_code,manufacturerName,model
3c6744,Airbus,A320 214
3c6485,Airbus,A321 231
39cea5,Boeing,737NG 800/W
4ba90d,Boeing,737NG 8F2/W
4ba8e3,Boeing,737NG 8F2/W
4ba9e1,Airbus,A330 303
4ba904,Boeing,737NG 8F2/W
3c5ee8,Airbus,A319 132
4ac9e3,Airbus,A320 251NSL
47ba1d,Airbus,A320 251NSL
440039,Airbus,A321 211
3c6482,Airbus,A321 231
44cdca,Airbus Industrie,A320-214
44cdc2,Airbus,A320 214
44cdce,Airbus Industrie,A320 214
4ca25a,Boeing,737-8AS
4d2021,Airbus,A320 214
342105,Airbus,A320 214
342188,Airbus,A320 214
4ca568,The Boeing Company,BOEING 737-8AS
4caa5c,The Boeing Company,BOEING 737-8AS
4d221d,Boeing,Boeing 737-8AS (W)
4baa67,Airbus,A321 231SL
4baa92,Airbus,A321 231SL
4ba905,Boeing,737NG 8F2/W
3cc1db,Embraer,Phenom 300
501d1d,Airbus,A319 112
501d21,Airbus,A319 112
4691c1,Airbus,A320 232SL
461e1d,Embraer,EMB-190 LR
461e18,Embraer,EMB-190 LR
461e15,Embraer,EMB-190 LR
461e1b,Embraer,EMB-190 LR
461f36,Airbus,A319 112
4ca9d3,The Boeing Company,BOEING 737-8AS
458d9a,Avions De Transport Regional,ATR 72 500
3c5425,Airbus,A300 B4-622RF
3c5428,Airbus,A300 B4-622RF
3c542d,Airbus,A300 B4-622RF
4d2257,Boeing,Boeing 737-8AS (W)
4ca97b,The Boeing Company,BOEING 737-8AS
34538e,Boeing,737NG 800/W
34260e,Airbus,A319 111
34324e,Airbus,A319 111
344341,Boeing,737NG 85P/W
3c4dc9,Bombardier,CRJ 900 LR NG
3c48ea,Airbus,A319 112
4d2133,Bombardier,Challenger 350
4ca80e,The Boeing Company,BOEING 737-8AS
a3f930,Boeing,767-34AF
4ca891,The Boeing Company,BOEING 737-8AS
3443d2,Airbus,A320 232SL
4d210b,Bombardier,Bombardier Global 6000
341682,Airbus,A320 214
4ba9f9,Airbus,A330 243F
4ca73f,The Boeing Company,BOEING 737-8AS
4caa59,The Boeing Company,BOEING 737-8AS
4ca84c,The Boeing Company,BOEING 737-8AS
3c6489,Airbus,A321 231
48c124,Boeing,737-8AS (W)
461e1e,Embraer,EMB-190 LR
44006d,Airbus,A321 211
3c56f4,Airbus,A320 214SL
44020a,Airbus Industrie,A320-216
3c6446,Airbus,A319 112
3c6495,Airbus,A321 231
3c6496,Airbus,A321 231
3c496e,Boeing,737NG 86J/W
3c65d4,Airbus Industrie,A320-271N
4caaa8,Airbus Industrie,A319-111
4caaa7,Airbus Industrie,A319-111
4baa6f,Airbus,A321 231SL
4ba9ca,Airbus,A330 343E
4baa85,Airbus,A321 231SL
4ba9e9,Airbus,A330 303
4ba9e7,Airbus,A330 303
4baa56,Airbus,A321 231
34324f,Airbus,A319 111
3c6421,Airbus,A321 211
3c5ef8,Airbus,A319 132
3c56ed,Airbus,A320 214SL
3c56ea,Airbus,A320 214SL
461e17,Embraer,EMB-190 LR
3c6491,Airbus,A321 231
4ba995,Airbus,A319 132
4ca225,The Boeing Company,BOEING 737-8AS
471f70,Airbus,A321 231SL
3c66b4,Airbus,A320 214SL
4d00f3,Boeing,737NG 86J/W
4ca8da,The Boeing Company,BOEING 737-8AS
4bb841,Airbus,A320 251NSL
4b9069,Airbus,A320 214SL
440cb1,Airbus,A320-214
440198,Airbus,A320-214
ab96a4,Boeing,777F
4692d6,Airbus,A320 232
4ca56a,The Boeing Company,BOEING 737-8AS
3445d4,Airbus,A320 214SL
4691c2,Airbus,A320 232SL
4ca73a,The Boeing Company,BOEING 737-8AS
3c56f5,Airbus,A320 214SL
4baa8e,Airbus,A321 231SL
4ba9fa,Airbus,A330 243F
4ba9cf,Airbus,A330 343E
44ce6f,Airbus,A319 111
44ce77,Airbus,A319 111
4d2220,Boeing,737-8AS
4d00d6,Bombardier,DHC-8 402 NG
461fa1,Airbus,A321 231SL
4d2134,Bombardier,Challenger 350
345102,Airbus,A319 112
4ca973,Airbus Industrie,A319-111
3c648b,Airbus,A321 231
3c6498,Airbus,A321 231
4a08eb,Boeing,737NG 800/W
3c6424,Airbus,A321 211SL
3c6427,Airbus,A321 211SL
3c6426,Airbus,A321 211SL
86d5b6,Boeing,787 8
3c64a6,Airbus Industrie,A321-271NX
3c6483,Airbus,A321 231
3c64b1,Airbus Industrie,A321-271NX
501d18,Airbus,A319 112
4baa8a,Airbus,A321 231SL
4baa76,Airbus,A321 231SL
4ba8f2,Boeing,737NG 8F2/W
4bb1e3,Airbus,A330 343E
4ba903,Boeing,737NG 8F2/W
4baa74,Airbus,A321 231SL
3c65da,Airbus Industrie,A320-271N
4baa87,Airbus,A321 231SL
3c49b1,Boeing,737NG 86J/W
3c64a2,Airbus Industrie,A321-271NX
3c4dcf,Bombardier,CRJ 900 LR NG
494108,Embraer,Phenom 300
461f9b,Airbus,A321 211
461f65,Airbus,A320 214
44ce78,Airbus,A319 111
4692cc,Airbus,A320 232
3c66e7,Airbus Industrie,A320-214
3c4969,Boeing,737NG 86J/W
3c66b3,Airbus,A320 214SL
3c66b8,Airbus,A320 214SL
3c66b1,Airbus,A320 214SL
3c66ba,Airbus,A320 214SL
3c66b9,Airbus,A320 214SL
3cdd18,Embraer,Phenom 300
4951d3,Airbus,A320 214SL
4951ca,Airbus,A320 214
4cafb3,Boeing,737-8AS
4951d2,Airbus,A320 214
344545,Avions De Transport Regional,ATR 72 500
4951ce,Airbus,A320 214
495146,Airbus,A321 211
4951d9,Airbus,A320 214
4ca97a,The Boeing Company,BOEING 737-8AS
4951cb,Airbus,A320 214
49520f,Embraer,EMB-190 LR
4951d8,Airbus,A320 214
495214,Embraer,EMB-190 LR
4951d6,Airbus,A320 214
45d065,Airbus,A321 211SL
495292,Airbus,A319 112
495290,Airbus,A319 111
4951d7,Airbus,A320 214
495245,Bombardier,DHC-8 402 NG
3c496d,Boeing,737NG 86J/W
3c496a,Boeing,737NG 86J/W
4b906d,Airbus,A320 214SL
4bcde3,Boeing,737NG 800/W
4baa44,Airbus,A321 231
4ba993,Airbus,A319 132
4bab22,Boeing,737NG 9F2ER/W
4ba919,Boeing,737NG 8F2/W
4baa0c,Airbus,A320 232
4bb842,Airbus,A320 251NSL
471f6b,Airbus,A321 231SL
4601f5,Avions De Transport Regional,ATR 72 500
4601f3,Avions De Transport Regional,ATR 72 500
4601f9,Avions De Transport Regional,ATR 72 500
345612,Airbus,A319-111
4ca84e,The Boeing Company,BOEING 737-8AS
4caa57,The Boeing Company,BOEING 737-8AS
3451ca,Avions De Transport Regional,ATR 72 600
3c09f2,Airbus,A319 112
abf0c7,Boeing Co,777-FS2
aba7d9,Boeing Co,777-FS2
ac34a0,Boeing Co,777-FS2
4ac9ee,Airbus Industries,A320-251N
45ac32,Airbus,A320 232
4ab568,Avions De Transport Regional,ATR 72 600
4601f6,Avions De Transport Regional,ATR 72 500
4601fa,Avions De Transport Regional,ATR 72 500
4601f8,Avions De Transport Regional,ATR 72 500
4601f7,Avions De Transport Regional,ATR 72 500
4601fb,Avions De Transport Regional,ATR 72 500
4601f2,Avions De Transport Regional,ATR 72 500
4601f4,Avions De Transport Regional,ATR 72 500
3c542b,Airbus,A300 B4-622RF
4ab563,Avions De Transport Regional,ATR 72 600
4ab566,Avions De Transport Regional,ATR 72 600
3c64a5,Airbus Industrie,A321-271NX
4bb873,Airbus,A320-251N
4ba912,Boeing,737NG 8F2/W
4baac9,Boeing,737NG 8F2/W
4baa6e,Airbus,A321 231SL
4601fc,Avions De Transport Regional,ATR 72 500
4ca4ed,The Boeing Company,BOEING 737-8AS
463aea,Bombardier,Bombardier Challenger 604
4631cc,Cessna,Citation CJ2+
4baa4e,Airbus,A321 231
461f9c,Airbus,A321 231SL
467891,Pilatus,PC-XII 47E
4631cd,Cessna,Citation CJ2+
494105,Embraer,Phenom 300
344297,Boeing,737NG 85P/W
344446,Boeing,737NG 85P/W
44046e,Bombardier,Global Express XRS
3434c9,Cessna,Citation Mustang
ac2d32,Boeing Co,777-FS2
abaf47,Boeing Co,777-FS2
4ba9d3,Airbus,A330 303
ac5fd6,Boeing,777F
abab90,Boeing Co,777-FS2
4baa88,Airbus,A321 231SL
ac0d21,Boeing,777F
a3ea54,Boeing,767-34AF
a3ee0b,Boeing,767-34AF
a3376c,Boeing,767-34AF
a3ca43,Boeing,767-34AF
4bab2f,Boeing,737NG 9F2ER/W
4baa70,Airbus,A321 231SL
4bab30,Boeing,737NG 9F2ER/W
4baad0,Boeing,737NG 8F2/W
4bab46,Boeing,737NG 8F2/W
4baa66,Airbus,A321 231SL
06a095,Airbus,A320 232
4ba892,Airbus,A330 243F
4baa90,Airbus,A321 231SL
4bb1c6,Airbus,A330 303
4bb26e,Airbus,A321-271NX
4baad6,Boeing,737NG 8F2/W
4baa0b,Airbus,A320 232
4bab23,Boeing,737NG 9F2ER/W
4ba9ab,Airbus,A321 231
4ba996,Airbus,A319 132
4baa42,Airbus,A321 231
4ba8ce,Boeing,737NG 8F2/W
7811e5,Airbus,A330 343E
4baa4f,Airbus,A321 231
4691c3,Airbus,A320 232SL
491d84,Bombardier,Bombardier Global 6000
4bce03,Boeing,737-8AS
4baa61,Airbus,A321 231
4baacb,Boeing,737NG 8F2/W
4bab27,Boeing,737NG 9F2ER/W
3444c9,Airbus,A320 214SL
4ba9d0,Airbus,A330 343E
4ba90e,Boeing,737NG 8F2/W
4baa48,Airbus,A321 231
4baa47,Airbus,A321 231
4baa46,Airbus,A321 231
4baa49,Airbus,A321 231
3450d8,Boeing,787 8
4ba869,Airbus,A330 243F
ac01fc,Boeing,777F
490d01,Bombardier,Challenger 350
467893,Pilatus,PC-XII 47E
471f72,Airbus,A321 231SL
4d2020,Airbus,A319 112
4ca24e,The Boeing Company,BOEING 737-8AS
4caa61,The Boeing Company,BOEING 737-8AS
4d220b,Boeing,737-8AS (W)
4ca804,The Boeing Company,BOEING 737-8AS
3451d6,Avions De Transport Regional,ATR 72 500
3d6a4b,Pilatus,PC-XII 47E
44012f,Airbus,A319 112
4690f9,Airbus,A320 232SL
4403ec,Cessna,Citation Mustang
4408de,Airbus,A320 214
4ca302,The Boeing Company,BOEING 737-8AS
a39b56,Boeing,767-34AF
ac148f,Boeing,777F
abb2fe,Boeing Co,777-FS2
abba6c,Boeing Co,777-FS2
abfa8e,Boeing,777F
ac5868,Boeing Co,777-FS2
a3866a,Boeing,767-34AF
4ca8d7,The Boeing Company,BOEING 737-8AS
440834,Bombardier,Bombardier Global 6000
4692da,Airbus,A321 231
46b8a2,Airbus,A320-271N
4402f1,Airbus Industrie,A320-214
495211,Embraer,EMB-190 LR
495216,Embraer,EMB-190 LR
4951d5,Airbus,A320 214
491221,Cessna,Citation XLS
49410a,Embraer,Phenom 300
471f73,Airbus,A321 231SL
471f75,Airbus,A321 231SL
3453cc,Boeing,737NG 800/W
344217,Boeing,737NG 85P/W
800b60,Bombardier,Global Express XRS
484c5a,Boeing,737NG 8K2/W
495215,Embraer,EMB-190 LR
3c4dd6,Bombardier,CRJ 900 LR NG
343183,Cessna,Citation XLS
34318a,Cessna,Citation XLS
4d2127,Bombardier,Challenger 350
491d87,Bombardier,Bombardier Global 6000
4d2078,Bombardier,Global Express XRS
4ca769,The Boeing Company,BOEING 737-8AS
44d071,Airbus,A320 214
4ca4ee,The Boeing Company,BOEING 737-8AS
040126,Boeing,787 8
491222,Cessna,Citation XLS
4ab561,Avions De Transport Regional,ATR 72 600
3e232e,Cessna,Citation CJ2+
3985a4,Airbus,A320 214
39cea4,Boeing,737NG 800/W
4d21fd,Boeing,Boeing 737-8AS (W)
3e3463,Embraer,Phenom 100
39c642,Cessna,Citation CJ2+
43ea72,Bombardier,Challenger 350
3c4dd8,Bombardier,CRJ 900 LR NG
3cf42d,Cessna,Citation XLS
4402d3,Cessna,Citation CJ1
3c66e2,Airbus,A320 214SL
3c66e5,Airbus Industrie,A320-214
3cce03,Embraer,Phenom 300
4408d8,Bombardier,Challenger 350
4690fa,Airbus,A320 232SL
501dd0,Bombardier,DHC-8 402 NG
4ca700,The Boeing Company,BOEING 737-8AS
4d2250,Boeing,Boeing 737-8AS
490d04,Bombardier,Challenger 350
490d05,Bombardier,Challenger 350
49d0c7,Pilatus,PC-XII 47E
471f65,Airbus,A321 231SL
4787a0,Boeing,737NG 86J/W
43e7fd,Raytheon Aircraft Company,Premier I
4d2225,Boeing,Boeing 737-8AS (W)
494106,Embraer,Phenom 300
490d02,Bombardier,Challenger 350
a3b1a0,Boeing,767-34AF
a32c47,Boeing,767-34AF
abe5a2,Boeing,777F
3cc7fe,Embraer,Phenom 300
04c11c,Boeing,787 8
ac50fa,Boeing,777F
ac3c0e,Boeing,777F
44083b,Airbus,A320-214
440866,Cessna,Citation Mustang
39a123,Cessna,Citation CJ2+
49130a,Cessna,Citation XLS
452023,Raytheon Aircraft Company,Premier I
344693,Airbus,A320 232SL
3aabfb,Socata,TBM 700
3991a3,Cessna,Citation Mustang
49d174,Cessna,Citation Mustang
4ca8d8,The Boeing Company,BOEING 737-8AS
4ca6aa,The Boeing Company,BOEING 737-8AS
300619,Bombardier,Bombardier Global 6000
5000da,Cessna,Citation CJ1
471a79,Cessna,Citation CJ1
4ab562,Avions De Transport Regional,ATR 72 600
3aabfc,Socata,TBM 700
4402d9,Bombardier,Bombardier Challenger 604
3e1e6b,Embraer,Phenom 100
4d02ad,Pilatus,PC-XII 47E
494104,Embraer,Phenom 300
4690ea,Airbus,A320 232
4692ce,Airbus,A320 232
4690e1,Airbus,A321 231
39cea0,Boeing,737NG 8K2/W
3450ca,Avions De Transport Regional,ATR 72 500
3c6541,Airbus Industrie,A320-271N
3c6423,Airbus,A321 211SL
467895,Pilatus,PC-XII 47E
471f81,Airbus,A320 232SL
4ca813,The Boeing Company,BOEING 737-8AS
3e46e1,Raytheon Aircraft Company,Premier I
3e1859,Cessna,Citation CJ2+
490d06,Bombardier,Challenger 350
48ae03,Boeing,787 8
aba856,Socata,TBM 700
a9566b,Socata,TBM 700
44c069,Pilatus,PC-XII 47E
3c4438,Bombardier,Bombardier Challenger 604
505e81,Raytheon Aircraft Company,Premier I
493201,Embraer,Phenom 300
491307,Cessna,Citation XLS
4ca2ad,The Boeing Company,BOEING 737-8AS
4ca947,Airbus Industrie,A320-214
4ca894,The Boeing Company,BOEING 737-8AS
3ce629,Embraer,Phenom 300
345389,Avions De Transport Regional,ATR 72 600
a955c7,Socata,TBM 700
345344,Avions De Transport Regional,ATR 72 600
501db3,Cessna,Citation CJ2+
3e47ba,Cessna,Citation CJ2+
494102,Embraer,Phenom 300
3c66b2,Airbus,A320 214SL
39a5e7,Cessna,Citation Mustang
4d00d0,Bombardier,DHC-8 402 NG
adf64e,Bombardier,Global Express XRS
3cc9f3,Embraer,Phenom 300
3cdd32,Embraer,Phenom 300
4ca8db,The Boeing Company,BOEING 737-8AS
abcf58,Boeing,777F
ac10d8,Boeing,777F
4d2091,Embraer,Phenom 100
44846f,Cessna,Citation Mustang
3c7dc5,Bombardier,Bombardier Challenger 604
45d068,Airbus,A321 211SL
471f55,Airbus,A320 232
343397,Avions De Transport Regional,ATR 72 500
3452ca,Avions De Transport Regional,ATR 72 600
4ba8d5,Boeing,737NG 8F2/W
449ca5,Pilatus,PC-XII 47E
020124,Airbus,A320 214SL
463a2c,Pilatus,PC-XII 47E
3cd32a,Embraer,Phenom 300
3e4601,Cessna,Citation CJ1
471f8e,Airbus,A320 232SL
3c5821,Bombardier,Bombardier Challenger 604
44052d,Cessna,Citation Mustang
4bcde8,Boeing,737NG 800/W
3e1bcb,Embraer,Phenom 100
ad0ed3,Compagnie Daher,TBM 700
3e383c,Cessna,Citation CJ2+
a955fb,Socata,TBM 700
3e4053,Cessna,Citation CJ1
ad0e0f,Compagnie Daher,TBM 700
494101,Embraer,Phenom 300
4d2102,Bombardier,Challenger 350
ac6f98,Socata,TBM 700
48c074,Hawker Beechcraft Corp,Premier I
3e2316,Cessna,Citation Mustang
4d2114,Bombardier,Global Express XRS
4485b2,Cessna,Citation CJ2+
44058f,Cessna,Citation Mustang
3ce0f7,Embraer,Phenom 300
50009e,Embraer,Phenom 100
4d20f6,Bombardier,Bombardier Global 6000
49130f,Cessna,Citation XLS
44c06a,Pilatus,PC-XII 47E
4ba906,Boeing,737NG 8F2/W
491316,Cessna,Citation XLS
343499,Bombardier,Global Express XRS
